;Channels;Classification;Comment;EndDepth;ExternalCount;InternalCount;Length;ObjectReference;Operator;Part;Side;StartDepth;UIC
0;0??, -0??, -70??;3;;40.0;60352136.0;53727213.0;3.0;60352107.0;Gerrit Walstra;0;1.0;26.0;421.0
1;0??, -0??;2;BEV;7.0;60708370.0;54083447.0;318.0;60708447.0;Gerrit Walstra;0;2.0;0.0;0.0
2;0??, -0??, -35??, +70??;2;BEV;6.0;60719355.0;54094432.0;226.0;60719373.0;Gerrit Walstra;0;2.0;0.0;0.0
3;0??, -0??, -35??, +70??, -70??;2;;86.0;60732080.0;54107157.0;29.0;60732072.0;Gerrit Walstra;0;2.0;26.0;421.0
4;0??, -0??, -70??;3;;22.0;60747072.0;54122149.0;4.0;60747056.0;Gerrit Walstra;0;2.0;12.0;421.0
5;0??, -0??, +35??, +70??, Sqt +;4;squats;16.0;64761355.0;58136432.0;1653.0;64701617.0;Gerrit Walstra;0;1.0;12.0;227.0
6;0??, -0??, +70??, -70??;3;;20.0;66013196.0;59388273.0;27.0;65978783.0;Gerrit Walstra;0;1.0;10.0;227.0
7;0??, -0??, +70??, -70??;4;;14.0;69248665.0;62623742.0;41.0;69214948.0;Gerrit Walstra;0;2.0;12.0;227.0
8;0??, -0??, +70??;4;;14.0;69897129.0;63272206.0;3.0;69798121.0;Gerrit Walstra;1;1.0;8.0;227.0
9;0??, -0??, +70??, -70??;4;;12.0;70683244.0;64058321.0;24.0;70525226.0;Gerrit Walstra;1;2.0;6.0;227.0
10;0??, -0??, -70??;4;;16.0;71073689.0;64448766.0;11.0;71057278.0;Gerrit Walstra;1;2.0;12.0;227.0
11;0??, -0??, -70??;3;;20.0;71092608.0;64467685.0;3.0;71057278.0;Gerrit Walstra;1;2.0;10.0;227.0
12;0??, -0??, +70??, -70??;4;;14.0;71144679.0;64519756.0;28.0;69798121.0;Gerrit Walstra;1;1.0;10.0;227.0
13;0??, -0??, +70??, -70??;4;;14.0;71174551.0;64549628.0;41.0;69798121.0;Gerrit Walstra;1;1.0;10.0;227.0
14;0??, -0??, -70??;3;;22.0;71764957.0;65140034.0;14.0;71881374.0;Gerrit Walstra;1;2.0;8.0;227.0
15;0??, -0??, +70??, -70??;4;;16.0;72007046.0;65382123.0;38.0;71969865.0;Gerrit Walstra;1;1.0;8.0;227.0
16;0??, -0??, -70??;2;;48.0;72044744.0;65419821.0;8.0;71969865.0;Gerrit Walstra;1;1.0;24.0;211.0
17;0??, -0??, -70??;4;;12.0;72151451.0;65526528.0;25.0;71969865.0;Gerrit Walstra;1;1.0;6.0;227.0
18;0??, -0??, -70??;4;;12.0;72211268.0;65586345.0;23.0;71969865.0;Gerrit Walstra;1;1.0;3.0;227.0
19;0??, -0??, -70??, Sqt +;4;;38.0;72223552.0;65598629.0;19.0;72223555.0;Gerrit Walstra;1;1.0;37.0;421.0
20;0??, -0??;4;;16.0;72233840.0;65608917.0;14.0;72223555.0;Gerrit Walstra;1;1.0;7.0;227.0
21;0??, -0??, +70??, -70??;4;;12.0;72246424.0;65621501.0;33.0;72223555.0;Gerrit Walstra;1;1.0;11.0;227.0
22;0??, -0??, +70??, -70??;4;;15.0;72619845.0;65994922.0;36.0;72583470.0;Gerrit Walstra;1;2.0;10.0;227.0
23;0??, -0??, +35??, +70??, -70??, Sqt +;4;2x squat;12.0;72691224.0;66066301.0;174.0;72583470.0;Gerrit Walstra;1;2.0;15.0;227.0
24;0??, -0??, +70??, Sqt +;4;;13.0;72752832.0;66127909.0;31.0;72583470.0;Gerrit Walstra;1;2.0;12.0;227.0
25;0??, -0??, +70??, -70??, Sqt +;4;2x squat;14.0;72780691.0;66155768.0;9074.0;72223555.0;Gerrit Walstra;1;1.0;8.0;227.0
26;0??, -0??, +70??, -70??;4;;16.0;72849718.0;66224795.0;40.0;72583470.0;Gerrit Walstra;1;2.0;10.0;227.0
27;0??, -0??, -70??;4;;38.0;72930287.0;66305364.0;13.0;72930274.0;Gerrit Walstra;1;2.0;12.0;421.0
28;0??, -0??, -70??, Sqt +;4;;12.0;72989933.0;66365010.0;23.0;72930274.0;Gerrit Walstra;1;2.0;9.0;227.0
29;0??, -0??, +70??, -70??;4;;14.0;73019882.0;66394959.0;23.0;72223555.0;Gerrit Walstra;1;1.0;10.0;227.0
30;0??, -0??, +70??, -70??, Sqt +, Sqt 0??, Sqt -;4;squats;16.0;73093402.0;66468479.0;155416.0;73068278.0;Gerrit Walstra;1;2.0;10.0;227.0
31;0??, -0??, +70??;3;;20.0;73258364.0;66633441.0;41.0;73068278.0;Gerrit Walstra;1;2.0;14.0;227.0
32;0??, -0??, Sqt +, Sqt 0??;4;;27.0;73406273.0;66781350.0;198.0;73390630.0;Gerrit Walstra;1;2.0;11.0;227.0
33;0??, -0??, +70??, -70??;3;;16.0;73467420.0;66842497.0;21.0;73467723.0;Gerrit Walstra;1;1.0;10.0;227.0
34;0??, -0??, -70??;4;;28.0;73467730.0;66842807.0;14.0;73467723.0;Gerrit Walstra;1;1.0;12.0;421.0
35;0??, -0??, +70??, -70??, Sqt +;4;2x squat;14.0;73475060.0;66850137.0;10997.0;73390630.0;Gerrit Walstra;1;2.0;7.0;227.0
36;0??, -0??, -70??;4;;16.0;73528901.0;66903978.0;29.0;73390630.0;Gerrit Walstra;1;2.0;8.0;227.0
37;0??, -0??, +35??, +70??, -70??, Sqt +;3;2x squat;18.0;73545862.0;66920939.0;443.0;73546882.0;Gerrit Walstra;1;2.0;8.0;227.0
38;0??, -0??, +35??, +70??, -70??;4;;15.0;73555080.0;66930157.0;136.0;73546882.0;Gerrit Walstra;1;2.0;6.0;227.0
39;0??, -0??, +70??, -70??;4;;12.0;73600051.0;66975128.0;39.0;73546882.0;Gerrit Walstra;1;2.0;10.0;227.0
40;0??, -0??, -70??;4;;15.0;73692938.0;67068015.0;33.0;73467723.0;Gerrit Walstra;1;1.0;12.0;227.0
41;0??, -0??, -70??;4;2x squat;15.0;73886588.0;67261665.0;641.0;73831621.0;Gerrit Walstra;1;2.0;5.0;227.0
42;0??, -0??, -70??;3;;22.0;74200730.0;67575807.0;10.0;74200711.0;Gerrit Walstra;1;1.0;12.0;421.0
43;0??, -0??, +70??, -70??, Sqt +;4;;15.0;74465278.0;67840355.0;5134.0;73831621.0;Gerrit Walstra;1;2.0;6.0;227.0
44;0??, -0??, +70??, -70??;4;;14.0;74651162.0;68026239.0;27.0;74200711.0;Gerrit Walstra;1;1.0;10.0;227.0
45;0??, -0??, +70??, -70??, Sqt +;4;;14.0;74677989.0;68053066.0;99.0;74672480.0;Gerrit Walstra;1;1.0;7.0;227.0
46;0??, -0??, +35??, +70??;3;;24.0;74681505.0;68056582.0;57.0;74672459.0;Gerrit Walstra;1;2.0;10.0;227.0
47;0??, -0??, +70??, -70??, Sqt +;2;;22.0;74700195.0;68075272.0;97.0;74672459.0;Gerrit Walstra;1;2.0;10.0;227.0
48;0??, -0??, +70??, -70??;4;squats;12.0;74702712.0;68077789.0;4476.0;74672480.0;Gerrit Walstra;1;1.0;8.0;227.0
49;0??, -0??, +70??, Sqt 0??;2;;33.0;74908220.0;68283297.0;17.0;74908209.0;Gerrit Walstra;1;1.0;41.0;1321.0
50;0??, -0??, +35??, +70??, -70??, Sqt +;4;squats;18.0;75310202.0;68685279.0;12912.0;74672459.0;Gerrit Walstra;1;2.0;12.0;227.0
51;0??, -0??, +70??;4;;13.0;75754935.0;69130012.0;30.0;75766160.0;Gerrit Walstra;1;2.0;6.0;227.0
52;0??, -0??, -70??;3;;20.0;75802805.0;69177882.0;11.0;75800013.0;Gerrit Walstra;1;2.0;10.0;227.0
53;0??, -0??, +70??, -70??, Sqt +;3;;20.0;76146796.0;69521873.0;42.0;76145064.0;Gerrit Walstra;1;1.0;13.0;227.0
54;0??, -0??, -70??;4;;16.0;76172145.0;69547222.0;10.0;75800013.0;Gerrit Walstra;1;2.0;10.0;227.0
55;0??, -0??, -70??;4;;13.0;76771611.0;70146688.0;31.0;76145064.0;Gerrit Walstra;1;1.0;5.0;227.0
56;0??, -0??, +35??, -70??, Sqt +;4;;14.0;77022927.0;70398004.0;174.0;77022012.0;Gerrit Walstra;1;1.0;4.0;227.0
57;0??, -0??, +70??, -70??;4;squats;14.0;77477430.0;70852507.0;4236.0;77527854.0;Gerrit Walstra;1;2.0;8.0;227.0
58;0??, -0??, +70??;4;;13.0;77500003.0;70875080.0;36.0;77527854.0;Gerrit Walstra;1;2.0;5.0;227.0
59;0??, -0??, +70??, -70??, Sqt +;3;2x squat;20.0;77538874.0;70913951.0;1436.0;77527856.0;Gerrit Walstra;1;2.0;9.0;227.0
60;0??, -0??, +70??, -70??, Sqt +, Sqt -;3;squats;16.0;77550502.0;70925579.0;2352.0;77527856.0;Gerrit Walstra;1;2.0;8.0;227.0
61;0??, -0??, +70??, -70??;4;;14.0;77701321.0;71076398.0;43.0;77022012.0;Gerrit Walstra;1;1.0;7.0;227.0
62;-0??, -70??;4;;14.0;78976308.0;72351385.0;1381.0;79235552.0;Gerrit Walstra;1;1.0;6.0;227.0
63;0??, -0??, -70??;4;;16.0;79214797.0;72589874.0;14.0;79235552.0;Gerrit Walstra;1;1.0;10.0;227.0
64;0??, -0??, +70??;4;;13.0;79423722.0;72798799.0;23.0;79396135.0;Gerrit Walstra;1;1.0;6.0;227.0
65;0??, -0??, Sqt 0??, Sqt -;3;;23.0;79513257.0;72888334.0;35.0;79396083.0;Gerrit Walstra;1;2.0;5.0;227.0
66;0??, -0??, -70??;2;;36.0;79572593.0;72947670.0;21.0;79572572.0;Gerrit Walstra;1;2.0;10.0;421.0
67;0??, -0??, -70??, Sqt 0??;4;;14.0;80370465.0;73745542.0;67.0;80352501.0;Gerrit Walstra;2;2.0;9.0;227.0
68;0??, -0??, +70??, -70??, Sqt +;4;;14.0;80787341.0;74162418.0;73.0;80352501.0;Gerrit Walstra;2;2.0;10.0;227.0
69;0??, -0??, +70??, Sqt +, Sqt -;4;squats;14.0;81003748.0;74378825.0;218793.0;81182466.0;Gerrit Walstra;2;1.0;12.0;227.0
70;0??, -0??, Sqt +, Sqt 0??, Sqt -;4;2x squat;16.0;81256795.0;74631872.0;2691.0;80352501.0;Gerrit Walstra;2;2.0;5.0;227.0
71;0??, -0??, -70??, Sqt +, Sqt 0??;4;;14.0;81281921.0;74656998.0;45.0;80352501.0;Gerrit Walstra;2;2.0;7.0;227.0
72;0??, -0??, +70??, -70??, Sqt +;3;;18.0;81295963.0;74671040.0;38.0;81361088.0;Gerrit Walstra;2;2.0;10.0;227.0
73;0??, -0??, +35??, +70??, -70??, Sqt +, Sqt 0??, Sqt -;4;;14.0;81316133.0;74691210.0;1887.0;81361088.0;Gerrit Walstra;2;2.0;5.0;227.0
74;0??, -0??, +70??;4;;15.0;81462847.0;74837924.0;21.0;81361088.0;Gerrit Walstra;2;2.0;6.0;227.0
75;0??, -0??, -70??;4;;20.0;81473888.0;74848965.0;20.0;81473873.0;Gerrit Walstra;2;2.0;10.0;421.0
76;0??, -0??, +70??, -70??;4;;14.0;81652386.0;75027463.0;35.0;81619499.0;Gerrit Walstra;2;1.0;11.0;227.0
77;0??, -0??, -70??, Sqt +;4;;12.0;81704012.0;75079089.0;360.0;81619499.0;Gerrit Walstra;2;1.0;11.0;227.0
78;0??, -0??, +35??, -35??, -70??;4;;13.0;81722398.0;75097475.0;302.0;81619499.0;Gerrit Walstra;2;1.0;8.0;227.0
79;0??, -0??, +70??, -70??, Sqt +, Sqt 0??, Sqt -;3;squats;18.0;81878899.0;75253976.0;2310.0;82025019.0;Gerrit Walstra;2;2.0;6.0;227.0
80;0??, -0??, +35??, -35??, -70??;4;;12.0;81974405.0;75349482.0;118.0;82024996.0;Gerrit Walstra;2;1.0;7.0;227.0
81;0??, -0??, +70??, -70??, Sqt +, Sqt 0??, Sqt -;3;squats;14.0;81994807.0;75369884.0;9384.0;82025019.0;Gerrit Walstra;2;2.0;5.0;227.0
82;0??, -0??, +70??, -70??, Sqt +, Sqt -;3;;18.0;82012079.0;75387156.0;38.0;82025019.0;Gerrit Walstra;2;2.0;6.0;227.0
83;0??, -0??, +35??, -35??, +70??, -70??, Sqt +;3;;16.0;89954062.0;83329139.0;342.0;89980586.0;Gerrit Walstra;3;1.0;9.0;227.0
